005	005	1981	Sega
10yard	10-Yard Fight (World, set 1)	1983	Irem
10yard85	10-Yard Fight '85 (US, Taito license)	1985	Irem (Taito license)
10yardj	10-Yard Fight (Japan)	1983	Irem
110dance	Retro Dance Mat (110 song Super StepMania + 9-in-1 games) (PAL)	200?	<unknown>
119	119 (bootleg?)	1986	Coreland / Sega
11beat	Eleven Beat	1998	Hudson Soft
18wheelr	18 Wheeler: American Pro Trucker (deluxe, Rev A)	2000	Sega
18wheelro	18 Wheeler: American Pro Trucker (deluxe)	2000	Sega
18wheelrt	18 Wheeler: American Pro Trucker (deluxe, Rev T)	2000	Sega
18wheels	18 Wheeler: American Pro Trucker (standard)	2000	Sega
18wheelu	18 Wheeler: American Pro Trucker (upright)	2000	Sega
1941	1941: Counter Attack (World 900227)	1990	Capcom
1941j	1941: Counter Attack (Japan)	1990	Capcom
1941r1	1941: Counter Attack (World)	1990	Capcom
1941u	1941: Counter Attack (USA 900227)	1990	Capcom
1942	1942 (Revision B)	1984	Capcom
1942a	1942 (Revision A)	1984	Capcom
1942abl	1942 (Revision A, bootleg)	1984	bootleg
1942b	1942 (First Version)	1984	Capcom
1942h	Supercharger 1942	1991	hack (Two Bit Score)
1942p	1942 (Tecfri PCB, bootleg?)	1984	bootleg
1942w	1942 (Williams Electronics license)	1985	Capcom (Williams Electronics license)
1943	1943: The Battle of Midway (Euro)	1987	Capcom
1943b	1943: Battle of Midway (bootleg, hack of Japan set)	1987	bootleg
1943bj	1943: Midway Kaisen (bootleg)	1987	bootleg
1943j	1943: Midway Kaisen (Japan, Rev B)	1987	Capcom
1943ja	1943: Midway Kaisen (Japan)	1987	Capcom
1943jah	1943: Midway Kaisen (Japan, no protection hack)	1987	Capcom
1943kai	1943 Kai: Midway Kaisen (Japan)	1987	Capcom
1943mii	1943: The Battle of Midway Mark II (US)	1987	Capcom
1943u	1943: The Battle of Midway (US, Rev C)	1987	Capcom
1943ua	1943: The Battle of Midway (US)	1987	Capcom
1944	1944: The Loop Master (Europe 000620)	2000	Eighting / Raizing (Capcom license)
1944d	1944: The Loop Master (USA 000620 Phoenix Edition) (bootleg)	2000	bootleg
1944j	1944: The Loop Master (Japan 000620)	2000	Eighting / Raizing (Capcom license)
1944u	1944: The Loop Master (USA 000620)	2000	Eighting / Raizing (Capcom license)
1945kiii	1945k III (newer, OPCX2 PCB)	2000	Oriental Soft
1945kiiin	1945k III (newer, OPCX1 PCB)	2000	Oriental Soft
1945kiiio	1945k III (older, OPCX1 PCB)	1999	Oriental Soft
1945kiiipt	1945k III (Promat license, OPCX1 PCB)	1999	Promat
19xx	19XX: The War Against Destiny (Europe 960104)	1996	Capcom
19xxa	19XX: The War Against Destiny (Asia 960104)	1996	Capcom
19xxar1	19XX: The War Against Destiny (Asia 951207)	1996	Capcom
19xxb	19XX: The War Against Destiny (Brazil 951218)	1996	Capcom
19xxd	19XX: The War Against Destiny (USA 951207 Phoenix Edition) (bootleg)	1996	bootleg
19xxh	19XX: The War Against Destiny (Hispanic 951218)	1996	Capcom
19xxj	19XX: The War Against Destiny (Japan 960104, yellow case)	1996	Capcom
19xxjr1	19XX: The War Against Destiny (Japan 951225)	1996	Capcom
19xxjr2	19XX: The War Against Destiny (Japan 951207)	1996	Capcom
19xxu	19XX: The War Against Destiny (USA 951207)	1996	Capcom
1on1gov	1 on 1 Government (Japan)	2000	Tecmo
2020bb	2020 Super Baseball (set 1)	1991	SNK / Pallas
2020bba	2020 Super Baseball (set 2)	1991	SNK / Pallas
2020bbh	2020 Super Baseball (set 3)	1991	SNK / Pallas
20pacgal	Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.08)	2000	Namco / Cosmodog
20pacgalr0	Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.00)	2000	Namco / Cosmodog
20pacgalr1	Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.01)	2000	Namco / Cosmodog
20pacgalr2	Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.02)	2000	Namco / Cosmodog
20pacgalr3	Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.03)	2000	Namco / Cosmodog
20pacgalr4	Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.04)	2000	Namco / Cosmodog
280zzzap	280-ZZZAP (set 1)	1976	Dave Nutting Associates / Midway
280zzzapa	280-ZZZAP (set 2)	1976	Dave Nutting Associates / Midway
2mindril	Two Minute Drill (Ver 2.93A 1994/02/16)	1993	Taito America
2mindrila	Two Minute Drill (Ver 2.2A 1993/10/18)	1993	Taito America
30test	30 Test (remake)	1997	Namco
39in1	39 in 1 MAME bootleg (GNO-V000)	2004	bootleg
3bagfull	3 Bags Full (5VXFC790, Victoria)	1996	Aristocrat
3bagfullnz	3 Bags Full (3VXFC5345, New Zealand)	1996	Aristocrat
3bagfullu	3 Bags Full (4XF5196I02, US)	1998	Aristocrat
3cdpoker	3 Cards Poker 96 (V1.6)	1996	Armaly Labs
3cdpokera	3 Cards Poker 96 (V1.0)	1996	Armaly Labs
3countb	3 Count Bout / Fire Suplex (NGM-043 ~ NGH-043)	1993	SNK
3in1mbc	Gunstar Heroes / Snake Rattle n' Roll / Joe & Mac (Conny bootleg of Mega Drive versions)	1995	bootleg (Conny)
3in1semi	New HyperMan (3-in-1 with Cookie & Bibi & HyperMan) (set 1)	1998	SemiCom / XESS
3in1semia	New HyperMan (3-in-1 with Cookie & Bibi & HyperMan) (set 2)	1998	SemiCom / XESS
3kokushi	Sankokushi (Japan)	1996	Mitchell
3on3dunk	3 On 3 Dunk Madness (US, prototype? 1997/02/04)	1996	Video System Co.
3stooges	The Three Stooges In Brides Is Brides (set 1)	1984	Mylstar
3stoogesa	The Three Stooges In Brides Is Brides (set 2)	1984	Mylstar
3wonders	Three Wonders (World 910520)	1991	Capcom
3wondersb	Three Wonders (bootleg)	1991	bootleg
3wondersh	Three Wonders (hack)	1991	bootleg
3wondersr1	Three Wonders (World 910513)	1991	Capcom
3wondersu	Three Wonders (USA 910520)	1991	Capcom
3x3puzzl	3X3 Puzzle (Enterprise)	1998	Ace Enterprise
3x3puzzla	3X3 Puzzle (Normal)	1998	Ace Enterprise
40love	Forty-Love (World)	1984	Taito
40lovebl	Forty-Love (bootleg)	1984	bootleg
40lovej	Forty-Love (Japan)	1984	Taito
4dwarrio	4-D Warriors (315-5162)	1985	Coreland / Sega
4enraya	4 En Raya (set 1)	1990	IDSA
4enrayaa	4 En Raya (set 2)	1990	IDSA
4in1	4 Fun in 1	1981	Armenia / Food and Fun
4in1boot	Puzzle King (PacMan 2, Tetris, HyperMan 2, Snow Bros.)	2002	K1 Soft
4psimasy	Mahjong 4P Shimasho (Japan)	1994	Sphinx / AV Japan
500gp	500 GP (US, 5GP3 Ver. C)	1998	Namco
5acespkr	5-Aces Poker	198?	<unknown>
5clown	Five Clown (English, set 1)	1993	IGS
5clowna	Five Clown (English, set 2)	1993	IGS
5clownsp	Five Clown (Spanish hack)	1993	IGS
600	600	1981	Konami
64street	64th. Street: A Detective Story (World)	1991	Jaleco
64streetj	64th. Street: A Detective Story (Japan, set 1)	1991	Jaleco
64streetja	64th. Street: A Detective Story (Japan, set 2)	1991	Jaleco
720	720 Degrees (rev 4)	1986	Atari Games
720g	720 Degrees (German, rev 2)	1986	Atari Games
720gr1	720 Degrees (German, rev 1)	1986	Atari Games
720r1	720 Degrees (rev 1)	1986	Atari Games
