puckman	PuckMan (Japan set 1)	1980	Namco
puckmana	PuckMan (Japan set 2)	1980	Namco
puckmanf	PuckMan (Japan set 1 with speedup hack)	1980	Namco
puckmanh	Puckman (Falcom?)	1980	hack
pacman	Pac-Man (Midway)	1980	Namco (Midway license)
pacmanf	Pac-Man (Midway, with speedup hack)	1980	Namco (Midway license)
puckmod	PuckMan (Japan set 3)	1981	Namco
pacmod	Pac-Man (Midway, harder)	1981	Namco (Midway license)
newpuc2	Newpuc2 (set 1)	1980	hack
newpuc2b	Newpuc2 (set 2)	1980	hack
newpuckx	New Puck-X	1980	hack
pacheart	Pac-Man (Hearts)	1981	hack
hangly	Hangly-Man (set 1)	1981	hack
hangly2	Hangly-Man (set 2)	1981	hack
hangly3	Hangly-Man (set 3)	1981	hack
popeyeman	Popeye-Man	1981	hack
piranhah	Piranha (hack)	1981	hack
abscam	Abscam	1981	GL (US Billiards license)
crush	Crush Roller (Kural Samno)	1981	Kural Samno Electric
crushbl	Crush Roller (bootleg)	1981	bootleg
crushbl2	Crush Roller (bootleg?)	1981	bootleg
crush2	Crush Roller (Kural Esco - bootleg?)	1981	Kural Esco Electric
crush3	Crush Roller (Kural - bootleg?)	1981	Kural Electric
crush4	Crush Roller (Kural TWT)		Kural TWT
maketrax	Make Trax (set 1)	1981	Kural (Williams license)
maketrxb	Make Trax (set 2)	1981	Kural (Williams license)
korosuke	Korosuke Roller	1981	Kural Electric
mbrush	Magic Brush	1981	bootleg
paintrlr	Paint Roller	1981	bootleg
crushs	Crush Roller (Sidam bootleg)		bootleg (Sidam)
pacplus	Pac-Man Plus	1982	Namco (Midway license)
joyman	Joyman	1982	hack
ctrpllrp	Caterpillar Pacman Hack	1982	hack
eyes	Eyes (Digitrex Techstar)	1982	Digitrex Techstar (Rock-Ola license)
eyes2	Eyes (Techstar)	1982	Techstar (Rock-Ola license)
eyeszac	Eyes (Zaccaria)	1982	bootleg (Zaccaria)
mrtnt	Mr. TNT	1983	Techstar (Telko license)
gorkans	Gorkans	1983	Techstar
eggor	Eggor	1983	Telko
jumpshot	Jump Shot	1985	Bally Midway
jumpshotp	Jump Shot Engineering Sample	1985	Bally Midway
shootbul	Shoot the Bull	1985	Bally Midway
piranha	Piranha	1981	GL (US Billiards license)
piranhao	Piranha (older)	1981	GL (US Billiards license)
nmouse	Naughty Mouse (set 1)	1981	Amenip (Palcom Queen River)
nmouseb	Naughty Mouse (set 2)	1981	Amenip Nova Games Ltd.
mspacman	Ms. Pac-Man	1981	Midway
mspacmnf	Ms. Pac-Man (with speedup hack)	1981	Midway
mspacmat	Ms. Pac Attack	1981	hack
woodpeck	Woodpecker (set 1)	1981	Amenip (Palcom Queen River)
woodpeca	Woodpecker (set 2)	1981	Amenip
mspacmab	Ms. Pac-Man (bootleg)	1981	bootleg
mspacmbe	Ms. Pac-Man (bootleg, (encrypted))	1981	bootleg
pacgal	Pac-Gal	1981	hack
mspacpls	Ms. Pac-Man Plus	1981	hack
ponpoko	Ponpoko	1982	Sigma Enterprises Inc.
ponpokov	Ponpoko (Venture Line)	1982	Sigma Enterprises Inc. (Venture Line license)
lizwiz	Lizard Wizard	1985	Techstar (Sunn license)
alibaba	Ali Baba and 40 Thieves	1982	Sega
dremshpr	Dream Shopper	1982	Sanritsu
vanvan	Van-Van Car	1983	Sanritsu
vanvank	Van-Van Car (Karateco set 1)	1983	Sanritsu (Karateco license?)
vanvanb	Van-Van Car (Karateco set 2)	1983	Sanritsu (Karateco license?)
bwcasino	Boardwalk Casino	1983	Epos Corporation
acitya	Atlantic City Action	1983	Epos Corporation
theglobp	The Glob (Pac-Man hardware)	1983	Epos Corporation
sprglobp	Super Glob (Pac-Man hardware)	1983	Epos Corporation
sprglbpg	Super Glob (Pac-Man hardware) German	1983	bootleg
beastf	Beastie Feastie	1984	Epos Corporation
rocktrv2	MTV Rock-N-Roll Trivia (Part 2)	1986	Triumph Software Inc.
bigbucks	Big Bucks	1986	Dynasoft Inc.
mschamp	Ms. Pacman Champion Edition / Zola-Puc Gal	1992	hack
mschamps	Ms. Pacman Champion Edition / Super Zola-Puc Gal	1995	hack
cannonbp	Cannon Ball (Pacman Hardware)		Novomatic
drivfrcp	Driving Force (Pac-Man conversion)	1984	Shinkai Inc. (Magic Eletronics Inc. license)
8bpm	Eight Ball Action (Pac-Man conversion)	1985	Seatongrove Ltd (Magic Eletronics USA license)
porky	Porky	1985	Shinkai Inc. (Magic Eletronics Inc. license)
pengo	Pengo (set 1 rev c)	1982	Sega
pengo2	Pengo (set 2)	1982	Sega
pengo2u	Pengo (set 2 not encrypted)	1982	Sega
pengo3u	Pengo (set 3 not encrypted)	1982	Sega
pengo4	Pengo (set 4)	1982	Sega
pengob	Pengo (bootleg)	1982	bootleg
penta	Penta	1982	bootleg
jrpacmbl	Jr. Pac-Man (Pengo hardware)	1983	bootleg
jrpacman	Jr. Pac-Man	1983	Bally Midway
megadon	Megadon	1982	Epos Corporation (Photar Industries license)
catapult	Catapult	1982	Epos Corporation
suprglob	Super Glob	1983	Epos Corporation
theglob	The Glob	1983	Epos Corporation
theglob2	The Glob (earlier)	1983	Epos Corporation
theglob3	The Glob (set 3)	1983	Epos Corporation
igmo	IGMO	1984	Epos Corporation
dealer	The Dealer	1984	Epos Corporation
revenger	Revenger	1984	Epos Corporation
galaxian	Galaxian (Namco set 1)	1979	Namco
galaxiana	Galaxian (Namco set 2)	1979	Namco
galaxianm	Galaxian (Midway set 1)	1979	Namco (Midway license)
galaxianmo	Galaxian (Midway set 2)	1979	Namco (Midway license)
galaxiant	Galaxian (Taito)	1979	Namco (Taito license)
superg	Super Galaxians (galaxiana hack)	1979	hack
galapx	Galaxian Part X (moonaln hack)	1979	hack
moonaln	Moon Alien	1979	Nichibutsu (Karateco license)
galap1	Space Invaders Galactica (galaxiana hack)	1979	hack
galap4	Galaxian Part 4 (hack)	1979	hack (G.G.I)
galturbo	Galaxian Turbo (superg hack)	1979	hack
swarm	Swarm (bootleg?)	1979	bootleg? (Subelectro)
zerotime	Zero Time	1979	bootleg? (Petaco S.A.)
starfght	Star Fighter	1979	bootleg (Jeutel)
galaxbsf	Galaxian (bootleg)	1979	bootleg
kamakazi3	Kamakazi III (superg hack)	1979	hack
tst_galx	Galaxian Test ROM		<unknown>
gmgalax	Ghostmuncher Galaxian (bootleg)	1981	bootleg
pisces	Pisces		Subelectro
piscesb	Pisces (bootleg)		bootleg
omni	Omni		bootleg
uniwars	UniWar S	1980	Irem
gteikoku	Gingateikoku No Gyakushu	1980	Irem
gteikokb	Gingateikoku No Gyakushu (bootleg set 1)	1980	bootleg
gteikob2	Gingateikoku No Gyakushu (bootleg set 2)	1980	bootleg
spacbatt	Space Battle (bootleg set 1)	1980	bootleg
spacbat2	Space Battle (bootleg set 2)	1980	bootleg
spacempr	Space Empire (bootleg)	1980	bootleg
skyraidr	Sky Raiders	1980	bootleg
batman2	Batman Part 2	1981	bootleg
warofbug	War of the Bugs or Monsterous Manouvers in a Mushroom Maze	1981	Armenia
warofbugg	War of the Bugs or Monsterous Manouvers in a Mushroom Maze (German)	1981	Armenia
redufo	Defend the Terra Attack on the Red UFO	1981	Artic
redufob	Defend the Terra Attack on the Red UFO (bootleg)	1981	bootleg
exodus	Exodus (bootleg?)		bootleg? (Subelectro)
streakng	Streaking	1981	Shoei
pacmanbl	Pac-Man (Galaxian hardware, set 1)	1981	bootleg
pacmanbla	Pac-Man (Galaxian hardware, set 2)	1981	bootleg
phoenxp2	Phoenix Part 2	1981	bootleg
atlantisb	Battle of Atlantis (bootleg)	1981	bootleg
tenspot	Ten Spot	1982	Thomas Automatics
devilfsg	Devil Fish (Galaxian hardware, bootleg?)	1984	Vision / Artic
zigzag	Zig Zag (Galaxian hardware, set 1)	1982	bootleg (LAX)
zigzag2	Zig Zag (Galaxian hardware, set 2)	1982	bootleg (LAX)
jumpbug	Jump Bug	1981	Hoei (Rock-Ola license)
jumpbugb	Jump Bug (bootleg)	1981	bootleg
levers	Levers	1983	Rock-Ola
azurian	Azurian Attack	1982	Rait Electronics Ltd
orbitron	Orbitron	1982	Signatron USA
mooncrgx	Moon Cresta (Galaxian hardware)	1980	bootleg
mooncrst	Moon Cresta (Nichibutsu)	1980	Nichibutsu
mooncrstu	Moon Cresta (Nichibutsu USA, unencrypted)	1980	Nichibutsu USA
mooncrsto	Moon Cresta (Nichibutsu, old rev)	1980	Nichibutsu
mooncrstg	Moon Cresta (Gremlin)	1980	Nichibutsu (Gremlin license)
mooncrstuk	Moon Cresta (Nichibutsu UK)	1980	Nichibutsu UK
smooncrs	Super Moon Cresta		Nichibutsu (Gremlin license)
mooncmw	Moon War (Moon Cresta bootleg)		bootleg
mooncrsb	Moon Cresta (bootleg set 1)	1980	bootleg
mooncrs2	Moon Cresta (bootleg set 2)	1980	bootleg
spcdrag	Space Dragon (Moon Cresta bootleg, set 1)	1980	bootleg
stera	Steraranger (Moon Cresta bootleg)	1980	bootleg
spcdraga	Space Dragon (Moon Cresta bootleg, set 2)	1980	bootleg
mooncrs3	Moon Cresta (bootleg set 3)	1980	bootleg (Jeutel)
fantazia	Fantazia (bootleg?)	1980	bootleg? (Subelectro)
moonqsr	Moon Quasar	1980	Nichibutsu
mshuttle	Moon Shuttle (US?)	1981	Nichibutsu
mshuttlej	Moon Shuttle (Japan)	1981	Nichibutsu
mshuttlej2	Moon Shuttle (Japan set 2)	1981	Nichibutsu
moonal2	Moon Alien Part 2	1980	Nichibutsu
moonal2b	Moon Alien Part 2 (older version)	1980	Nichibutsu
supergx	Super GX	1980	Nichibutsu
eagle	Eagle (set 1)	1980	Nichibutsu (Centuri license?)
eagle2	Eagle (set 2)	1980	Nichibutsu (Centuri license?)
eagle3	Eagle (set 3)	1980	Nichibutsu (Centuri license?)
spctbird	Space Thunderbird		bootleg? (Fortrek)
skybase	Sky Base	1982	Omori Electric Co., Ltd.
checkman	Check Man	1982	Zilec-Zenitone
checkmanj	Check Man (Japan)	1982	Zilec-Zenitone (Jaleco license)
dingo	Dingo	1983	Ashby Computers and Graphics Ltd. (Jaleco license)
dingoe	Dingo (encrypted)	1983	Ashby Computers and Graphics Ltd.
blkhole	Black Hole	1981	TDS
kingball	King & Balloon (US)	1980	Namco
kingballj	King & Balloon (Japan)	1980	Namco
scorpionmc	Scorpion (Moon Cresta hardware)		bootleg? (Dorneer)
frogg	Frog (Galaxian hardware)	1981	bootleg
4in1	4 Fun in 1	1981	Armenia / Food and Fun
bagmanmc	Bagman (bootleg on Moon Cresta hardware)	1982	bootleg
dkongjrm	Donkey Kong Jr. (bootleg on Moon Cresta hardware)	1982	bootleg
ozon1	Ozon I	1983	Proma
ladybugg	Lady Bug (bootleg on Galaxian hardware)	1983	bootleg
vpool	Video Pool (bootleg on Moon Cresta hardware)	1980	bootleg
drivfrcg	Driving Force (Galaxian conversion)	1984	Shinkai Inc. (Magic Eletronics USA license)
drivfrcb	Driving Force (Galaxian conversion bootleg)	1985	bootleg
bongo	Bongo	1983	Jetsoft
hunchbkg	Hunchback (Galaxian hardware)	1983	Century Electronics
harem	Harem	1983	I.G.R.
tazzmang	Tazz-Mania (bootleg on Galaxian hardware)	1982	bootleg
racknrol	Rack + Roll	1986	Senko Industries (Status license from Shinkai Inc.)
hexpool	Hex Pool (Shinkai)	1986	Senko Industries (Shinkai Inc. license)
hexpoola	Hex Pool (Senko)	1985	Senko Industries
trvchlng	Trivia Challenge	1985	Joyland (Senko license)
luctoday	Lucky Today	1980	Sigma
chewing	Chewing Gum		<unknown>
catacomb	Catacomb	1982	MTM Games
ckongg	Crazy Kong (bootleg on Galaxian hardware)	1981	bootleg
ckongmc	Crazy Kong (bootleg on Moon Cresta hardware)	1981	bootleg
porter	Port Man (bootleg on Moon Cresta hardware)	1982	bootleg
vstars	Video Stars	1982	Competitive Video?
tdpgal	Triple Draw Poker	1983	Design Labs / Thomas Automatics
rockclim	Rock Climber	1981	Taito
scramble	Scramble	1981	Konami
scrambles	Scramble (Stern Electronics)	1981	Konami (Stern Electronics license)
scramblebf	Scramble (Karateko, French bootleg)	1981	bootleg (Karateko)
scramblb	Scramble (bootleg on Galaxian hardware)	1981	bootleg
scramb2	Scramble (bootleg)	1981	bootleg
explorer	Explorer	1981	bootleg
strfbomb	Strafe Bomb	1981	bootleg? (Omni)
atlantis	Battle of Atlantis (set 1)	1981	Comsoft
atlantis2	Battle of Atlantis (set 2)	1981	Comsoft
theend	The End	1980	Konami
theends	The End (Stern Electronics)	1980	Konami (Stern Electronics license)
omega	Omega		bootleg?
ckongs	Crazy Kong (Scramble hardware)	1981	bootleg
froggers	Frog	1981	bootleg
frogf	Frog (Falcon bootleg)	1981	bootleg (Falcon)
amidars	Amidar (Scramble hardware)	1982	Konami
triplep	Triple Punch	1982	KKI
knockout	Knock Out!!	1982	KKK
mariner	Mariner	1981	Amenip
800fath	800 Fathoms	1981	Amenip (US Billiards Inc. license)
mars	Mars	1981	Artic
devilfsh	Devil Fish	1982	Artic
newsin7	New Sinbad 7	1983	ATW USA, Inc.
mrkougar	Mr. Kougar	1984	ATW
mrkougar2	Mr. Kougar (earlier)	1983	ATW
mrkougb	Mr. Kougar (bootleg set 1)	1983	bootleg
mrkougb2	Mr. Kougar (bootleg set 2)	1983	bootleg
hotshock	Hot Shocker	1982	E.G. Felaco (Domino license)
hotshockb	Hot Shocker (bootleg)	1982	bootleg
